,id,y
0,11000,2
1,11001,0
2,11002,2
3,11003,2
4,11004,1
5,11005,1
6,11006,2
7,11007,3
8,11008,4
9,11009,0
10,11010,0
11,11011,2
12,11012,2
13,11013,4
14,11014,4
15,11015,3
16,11016,4
17,11017,4
18,11018,2
19,11019,2
20,11020,2
21,11021,2
22,11022,2
23,11023,3
24,11024,2
25,11025,2
26,11026,2
27,11027,2
28,11028,1
29,11029,5
30,11030,2
31,11031,0
32,11032,2
33,11033,4
34,11034,2
35,11035,0
36,11036,3
37,11037,2
38,11038,4
39,11039,4
40,11040,2
41,11041,2
42,11042,5
43,11043,3
44,11044,0
45,11045,2
46,11046,2
47,11047,2
48,11048,1
49,11049,4
50,11050,5
51,11051,6
52,11052,2
53,11053,2
54,11054,0
55,11055,4
56,11056,1
57,11057,1
58,11058,2
59,11059,2
60,11060,0
61,11061,2
62,11062,3
63,11063,0
64,11064,1
65,11065,1
66,11066,2
67,11067,0
68,11068,4
69,11069,4
70,11070,4
71,11071,1
72,11072,1
73,11073,0
74,11074,1
75,11075,6
76,11076,6
77,11077,1
78,11078,1
79,11079,1
80,11080,1
81,11081,1
82,11082,2
83,11083,6
84,11084,6
85,11085,4
86,11086,6
87,11087,1
88,11088,6
89,11089,6
90,11090,1
91,11091,6
92,11092,6
93,11093,6
94,11094,6
95,11095,1
96,11096,6
97,11097,6
98,11098,5
99,11099,6
100,11100,0
101,11101,4
102,11102,6
103,11103,6
104,11104,6
105,11105,6
106,11106,5
107,11107,5
108,11108,6
109,11109,6
110,11110,5
111,11111,0
112,11112,5
113,11113,6
114,11114,6
115,11115,3
116,11116,6
117,11117,3
118,11118,3
119,11119,6
120,11120,5
121,11121,5
122,11122,6
123,11123,6
124,11124,0
125,11125,5
126,11126,1
127,11127,6
128,11128,6
129,11129,2
130,11130,5
131,11131,0
132,11132,0
133,11133,4
134,11134,1
135,11135,6
136,11136,6
137,11137,4
138,11138,1
139,11139,1
140,11140,0
141,11141,4
142,11142,2
143,11143,2
144,11144,4
145,11145,1
146,11146,2
147,11147,2
148,11148,0
149,11149,0
150,11150,5
151,11151,2
152,11152,4
153,11153,2
154,11154,6
155,11155,2
156,11156,0
157,11157,2
158,11158,2
159,11159,1
160,11160,2
161,11161,6
162,11162,5
163,11163,6
164,11164,6
165,11165,2
166,11166,2
167,11167,2
168,11168,2
169,11169,1
170,11170,6
171,11171,2
172,11172,0
173,11173,0
174,11174,0
175,11175,0
176,11176,4
177,11177,2
178,11178,1
179,11179,6
180,11180,0
181,11181,0
182,11182,2
183,11183,2
184,11184,6
185,11185,6
186,11186,6
187,11187,5
188,11188,0
189,11189,6
190,11190,5
191,11191,0
192,11192,1
193,11193,6
194,11194,5
195,11195,5
196,11196,1
197,11197,1
198,11198,1
199,11199,5
200,11200,5
201,11201,6
202,11202,2
203,11203,6
204,11204,6
205,11205,5
206,11206,6
207,11207,6
208,11208,1
209,11209,1
210,11210,6
211,11211,6
212,11212,1
213,11213,6
214,11214,6
215,11215,1
216,11216,6
217,11217,6
218,11218,1
219,11219,0
220,11220,2
221,11221,1
222,11222,1
223,11223,1
224,11224,1
225,11225,6
226,11226,2
227,11227,0
228,11228,2
229,11229,0
230,11230,6
231,11231,6
232,11232,3
233,11233,2
234,11234,6
235,11235,1
236,11236,0
237,11237,2
238,11238,2
239,11239,3
240,11240,1
241,11241,2
242,11242,1
243,11243,0
244,11244,6
245,11245,1
246,11246,2
247,11247,2
248,11248,6
249,11249,6
250,11250,6
251,11251,6
252,11252,1
253,11253,6
254,11254,6
255,11255,1
256,11256,0
257,11257,3
258,11258,0
259,11259,5
260,11260,3
261,11261,5
262,11262,5
263,11263,5
264,11264,2
265,11265,6
266,11266,5
267,11267,3
268,11268,3
269,11269,5
270,11270,5
271,11271,0
272,11272,2
273,11273,5
274,11274,0
275,11275,2
276,11276,0
277,11277,5
278,11278,5
279,11279,2
280,11280,2
281,11281,1
282,11282,5
283,11283,2
284,11284,5
285,11285,0
286,11286,4
287,11287,2
288,11288,0
289,11289,0
290,11290,0
291,11291,0
292,11292,0
293,11293,5
294,11294,5
295,11295,5
296,11296,0
297,11297,0
298,11298,0
299,11299,5
300,11300,5
301,11301,0
302,11302,5
303,11303,5
304,11304,0
305,11305,5
306,11306,0
307,11307,1
308,11308,6
309,11309,5
310,11310,5
311,11311,5
312,11312,5
313,11313,5
